HolidayDate,HolidayDateNZ,HolidayD,HolidayMonth,HolidayYear,DayNumberOfWeek,HolidayDay,HolidayName,NationalHoliday,ObservedDate,ObservedDay
1/01/1980,1/01/1980,1,1,1980,2,Tuesday,New Year's Day,Y,1/01/1980,Tuesday
1/02/1980,2/01/1980,2,1,1980,3,Wednesday,Day after New Year's Day,Y,1/02/1980,Wednesday
01/21/1980,21/01/1980,21,1,1980,1,Monday,Wellington Anniversary,N,01/21/1980,Monday
01/28/1980,28/01/1980,28,1,1980,1,Monday,Auckland Anniversary,N,01/28/1980,Monday
2/04/1980,4/02/1980,4,2,1980,1,Monday,Nelson Anniversary,N,2/04/1980,Monday
2/06/1980,6/02/1980,6,2,1980,3,Wednesday,Waitangi Day,Y,2/06/1980,Wednesday
3/10/1980,10/03/1980,10,3,1980,1,Monday,Taranaki Anniversary,N,3/10/1980,Monday
03/24/1980,24/03/1980,24,3,1980,1,Monday,Otago Anniversary,N,03/24/1980,Monday
4/04/1980,4/04/1980,4,4,1980,5,Friday,Good Friday,Y,4/04/1980,Friday
4/07/1980,7/04/1980,7,4,1980,1,Monday,Easter Monday,Y,4/07/1980,Monday
4/08/1980,8/04/1980,8,4,1980,2,Tuesday,Southland Anniversary,N,4/08/1980,Tuesday
04/25/1980,25/04/1980,25,4,1980,5,Friday,ANZAC Day,Y,04/25/1980,Friday
6/02/1980,2/06/1980,2,6,1980,1,Monday,Queen's Birthday,Y,6/02/1980,Monday
09/22/1980,22/09/1980,22,9,1980,1,Monday,South Canterbury Anniversary,N,09/22/1980,Monday
10/24/1980,24/10/1980,24,10,1980,5,Friday,Hawke's Bay Anniversary,N,10/24/1980,Friday
10/27/1980,27/10/1980,27,10,1980,1,Monday,Labour Day,Y,10/27/1980,Monday
11/03/1980,3/11/1980,3,11,1980,1,Monday,Marlborough Anniversary,N,11/03/1980,Monday
11/14/1980,14/11/1980,14,11,1980,5,Friday,Canterbury Anniversary,N,11/14/1980,Friday
12/01/1980,1/12/1980,1,12,1980,1,Monday,Westland Anniversary,N,12/01/1980,Monday
12/01/1980,1/12/1980,1,12,1980,1,Monday,Chatham Islands Anniversary,N,12/01/1980,Monday
12/25/1980,25/12/1980,25,12,1980,4,Thursday,Christmas Day,Y,12/25/1980,Thursday
12/26/1980,26/12/1980,26,12,1980,5,Friday,Boxing Day,Y,12/26/1980,Friday
1/01/1981,1/01/1981,1,1,1981,4,Thursday,New Year's Day,Y,1/01/1981,Thursday
1/02/1981,2/01/1981,2,1,1981,5,Friday,Day after New Year's Day,Y,1/02/1981,Friday
01/19/1981,19/01/1981,19,1,1981,1,Monday,Wellington Anniversary,N,01/19/1981,Monday
01/26/1981,26/01/1981,26,1,1981,1,Monday,Auckland Anniversary,N,01/26/1981,Monday
2/02/1981,2/02/1981,2,2,1981,1,Monday,Nelson Anniversary,N,2/02/1981,Monday
2/06/1981,6/02/1981,6,2,1981,5,Friday,Waitangi Day,Y,2/06/1981,Friday
3/09/1981,9/03/1981,9,3,1981,1,Monday,Taranaki Anniversary,N,3/09/1981,Monday
03/23/1981,23/03/1981,23,3,1981,1,Monday,Otago Anniversary,N,03/23/1981,Monday
04/17/1981,17/04/1981,17,4,1981,5,Friday,Good Friday,Y,04/17/1981,Friday
04/20/1981,20/04/1981,20,4,1981,1,Monday,Easter Monday,Y,04/20/1981,Monday
04/21/1981,21/04/1981,21,4,1981,2,Tuesday,Southland Anniversary,N,04/21/1981,Tuesday
04/25/1981,25/04/1981,25,4,1981,6,Saturday,ANZAC Day,Y,04/25/1981,Saturday
6/01/1981,1/06/1981,1,6,1981,1,Monday,Queen's Birthday,Y,6/01/1981,Monday
09/28/1981,28/09/1981,28,9,1981,1,Monday,South Canterbury Anniversary,N,09/28/1981,Monday
10/23/1981,23/10/1981,23,10,1981,5,Friday,Hawke's Bay Anniversary,N,10/23/1981,Friday
10/26/1981,26/10/1981,26,10,1981,1,Monday,Labour Day,Y,10/26/1981,Monday
11/02/1981,2/11/1981,2,11,1981,1,Monday,Marlborough Anniversary,N,11/02/1981,Monday
11/13/1981,13/11/1981,13,11,1981,5,Friday,Canterbury Anniversary,N,11/13/1981,Friday
11/30/1981,30/11/1981,30,11,1981,1,Monday,Westland Anniversary,N,11/30/1981,Monday
11/30/1981,30/11/1981,30,11,1981,1,Monday,Chatham Islands Anniversary,N,11/30/1981,Monday
12/25/1981,25/12/1981,25,12,1981,5,Friday,Christmas Day,Y,12/25/1981,Friday
12/26/1981,26/12/1981,26,12,1981,6,Saturday,Boxing Day,Y,12/28/1981,Monday
1/01/1982,1/01/1982,1,1,1982,5,Friday,New Year's Day,Y,1/01/1982,Friday
1/02/1982,2/01/1982,2,1,1982,6,Saturday,Day after New Year's Day,Y,1/04/1982,Monday
01/25/1982,25/01/1982,25,1,1982,1,Monday,Wellington Anniversary,N,01/25/1982,Monday
2/01/1982,1/02/1982,1,2,1982,1,Monday,Auckland Anniversary,N,2/01/1982,Monday
2/01/1982,1/02/1982,1,2,1982,1,Monday,Nelson Anniversary,N,2/01/1982,Monday
2/06/1982,6/02/1982,6,2,1982,6,Saturday,Waitangi Day,Y,2/06/1982,Saturday
3/08/1982,8/03/1982,8,3,1982,1,Monday,Taranaki Anniversary,N,3/08/1982,Monday
03/22/1982,22/03/1982,22,3,1982,1,Monday,Otago Anniversary,N,03/22/1982,Monday
4/09/1982,9/04/1982,9,4,1982,5,Friday,Good Friday,Y,4/09/1982,Friday
4/12/1982,12/04/1982,12,4,1982,1,Monday,Easter Monday,Y,4/12/1982,Monday
